id_lieu;annee_tournage;type_tournage;nom_tournage;nom_realisateur;nom_producteur;adresse_lieu;ardt_lieu;date_debut;date_fin;coord_x;coord_y;geo_shape;geo_point_2d;actors;runtime;Genre;Metascore;Released;Rating;nb_votes
2019-1451;2019;Série Web;Tu Préfèreres;Lise Akoka et Romane Gueret;Superstructure;85 avenue simon bolivar, 75019 paris;75019;2019-10-24;2019-10-24;2.37457229;48.87659185;"{""type"": ""Point"", ""coordinates"": [2.374572285089508, 48.876591853930364]}";48.8765918539,2.37457228509;Gringe, Orelsan;2 min;Comedy;N/A;11 Feb 2016;6.9;8
2019-34;2019;Série TV;Fleabag;Jeanne Herry;Banijay Studios France;2 avenue de villiers, 75017 paris;75017;2019-01-07;2019-01-07;2.31593261;48.88159683;"{""type"": ""Point"", ""coordinates"": [2.315932613441777, 48.881596825720614]}";48.8815968257,2.31593261344;Phoebe Waller-Bridge, Sian Clifford, Olivia Colman, Jenny Rainsford;27 min;Comedy, Drama;N/A;16 Sep 2016;8.7;107,944
2018-802;2018;Long métrage;MERVEILLES A MONTFERMEIL;Jeanne Balibar;FILM(S);place de la république, 75011 paris;75011;2018-07-10;2018-07-10;2.36479185;48.86635144;"{""type"": ""Point"", ""coordinates"": [2.364791850060801, 48.86635144192642]}";48.8663514419,2.36479185006;Jeanne Balibar, Ramzy Bedia, Emmanuelle Béart, Mathieu Amalric;109 min;Comedy;N/A;19 Aug 2020;3.9;194
2018-805;2018;Long métrage;CHANSON DOUCE;LUCIE BORLETEAU;WHY NOT PRODUCTIONS;23 rue jean-pierre timbaud, 75011 paris;75011;2018-07-10;2018-07-10;2.3683791100000002;48.86540504;"{""type"": ""Point"", ""coordinates"": [2.368379107504065, 48.86540503704447]}";48.865405037,2.3683791075;Karin Viard, Leïla Bekhti, Antoine Reinartz, Assya Da Silva;100 min;Crime, Drama;N/A;27 Nov 2019;5.9;844
2019-1082;2019;Long métrage;Par-dessus l'épaule de Jonas;Jérôme Bonnell;DIAPHANA FILMS;13 boulevard du fort de vaux, 75017 paris;75017;2019-09-04;2019-09-04;2.30334978;48.89272805;"{""type"": ""Point"", ""coordinates"": [2.303349783126619, 48.892728053663646]}";48.8927280537,2.30334978313;;;;;;;
2018-828;2018;Long métrage;C'est quoi cette famille?! 2;Gabriel Julien Laferrière;BONNE PIOCHE CINEMA;rue de ménilmontant, 75020 paris;75020;2018-07-23;2018-07-23;2.39266708;48.86935081;"{""type"": ""Point"", ""coordinates"": [2.392667079220308, 48.86935080879625]}";48.8693508088,2.39266707922;Julie Gayet, Thierry Neuvic, Julie Depardieu, Lucien Jean-Baptiste;99 min;Comedy;N/A;10 Aug 2016;6.2;983
2019-1336;2019;Long métrage;LES DEUX ALFRED;Bruno Podalydès;WHY NOT PRODUCTIONS;avenue de choisy, 75013 paris;75013;2019-10-11;2019-10-11;2.3583952999999998;48.82811151;"{""type"": ""Point"", ""coordinates"": [2.358395300946585, 48.82811150846685]}";48.8281115085,2.35839530095;Denis Podalydès, Bruno Podalydès, Sandrine Kiberlain, Yann Frisch;92 min;Comedy;N/A;02 Dec 2020;6.8;26
2018-1523;2018;Long métrage;FORTE;Katia LEWKOWICZ;QUAD FILMS;10 rue montmartre, 75001 paris;75001;2018-11-28;2018-11-28;2.3459140400000003;48.86360382;"{""type"": ""Point"", ""coordinates"": [2.345914039663948, 48.86360381751166]}";48.8636038175,2.34591403966;Melha Bedia, Valérie Lemercier, Alison Wheeler, Bastien Ughetto;95 min;Comedy;N/A;15 Apr 2020;5.0;628
2016-2293;2016;Long métrage;SIMONE BENLOULOU;MYRIAM AZIZA;INCOGNITA;PLACE  DE L'OPERA;75009;2016-10-13;2016-10-13;2.332572;48.871045;"{""type"": ""Point"", ""coordinates"": [2.332571999655995, 48.871044999748]}";48.8710449997,2.33257199966;Sarah Stern, Jean-Christophe Folly, Julia Piaton, Catherine Jacob;95 min;Comedy, Drama;N/A;24 Jun 2018;5.3;1,488
2018-1548;2018;Long métrage;La nuit venue;Frederic Farrucci;Koro film;58 rue de courcelles, 75008 paris;75008;2018-12-12;2018-12-12;2.30719409;48.8771012;"{""type"": ""Point"", ""coordinates"": [2.307194093005802, 48.87710119845291]}";48.8771011985,2.30719409301;Guang Huo, Camélia Jordana, Xun Liang, Maurice Cheng;95 min;Drama;N/A;15 Jul 2020;6.1;147
